CensusYear,Sex,Age,At Each Year of Age,UNIT,Count,,,,,,
2016,Both sexes,18,Population,Number,61294,,,,,,
2016,Both sexes,19,Population,Number,57572,,,,,,
2016,Both sexes,20,Population,Number,56337,,,,,,
2016,Both sexes,21,Population,Number,54397,,,,,,
2016,Both sexes,22,Population,Number,54352,,,,,,
2016,Both sexes,23,Population,Number,53935,,,,,,
2016,Both sexes,24,Population,Number,54615,,,,,,
2016,Both sexes,25,Population,Number,57278,,,,,,
2016,Both sexes,26,Population,Number,56257,,,,,,
2016,Both sexes,27,Population,Number,61652,,,,,,
2016,Both sexes,28,Population,Number,59456,,,,,,
2016,Both sexes,29,Population,Number,62792,,,,,,
2016,Both sexes,30,Population,Number,68347,,,,,,
2016,Both sexes,31,Population,Number,68334,,,,,,
2016,Both sexes,32,Population,Number,71772,,,,,,
2016,Both sexes,33,Population,Number,75704,,,,,,
2016,Both sexes,34,Population,Number,77818,,,,,,
2016,Both sexes,35,Population,Number,81545,,,,,,
2016,Both sexes,36,Population,Number,83196,,,,,,
2016,Both sexes,37,Population,Number,77184,,,,,,
2016,Both sexes,38,Population,Number,74681,,,,,,
2016,Both sexes,39,Population,Number,72815,,,,,,
2016,Both sexes,40,Population,Number,73414,,,,,,
2016,Both sexes,41,Population,Number,71974,,,,,,
2016,Both sexes,42,Population,Number,71172,,,,,,
2016,Both sexes,43,Population,Number,71288,,,,,,
2016,Both sexes,44,Population,Number,69612,,,,,,
2016,Both sexes,45,Population,Number,70457,,,,,,
2016,Both sexes,46,Population,Number,67208,,,,,,
2016,Both sexes,47,Population,Number,63640,,,,,,
2016,Both sexes,48,Population,Number,62946,,,,,,
2016,Both sexes,49,Population,Number,61859,,,,,,
2016,Both sexes,50,Population,Number,61988,,,,,,
2016,Both sexes,51,Population,Number,61798,,,,,,
2016,Both sexes,52,Population,Number,60183,,,,,,
2016,Both sexes,53,Population,Number,58907,,,,,,
2016,Both sexes,54,Population,Number,57059,,,,,,
2016,Both sexes,55,Population,Number,57256,,,,,,
2016,Both sexes,56,Population,Number,54907,,,,,,
2016,Both sexes,57,Population,Number,54459,,,,,,
2016,Both sexes,58,Population,Number,52428,,,,,,
2016,Both sexes,59,Population,Number,51052,,,,,,
2016,Both sexes,60,Population,Number,49865,,,,,,
2016,Both sexes,61,Population,Number,49245,,,,,,
2016,Both sexes,62,Population,Number,47300,,,,,,
2016,Both sexes,63,Population,Number,47402,,,,,,
2016,Both sexes,64,Population,Number,45044,,,,,,
2016,Both sexes,65,Population,Number,44156,,,,,,
2016,Both sexes,66,Population,Number,43546,,,,,,
2016,Both sexes,67,Population,Number,42442,,,,,,
2016,Both sexes,68,Population,Number,41389,,,,,,
2016,Both sexes,69,Population,Number,39703,,,,,,
2016,Both sexes,70,Population,Number,37821,,,,,,
2016,Both sexes,71,Population,Number,34612,,,,,,
2016,Both sexes,72,Population,Number,32430,,,,,,
2016,Both sexes,73,Population,Number,30219,,,,,,
2016,Both sexes,74,Population,Number,27190,,,,,,
2016,Both sexes,75,Population,Number,25449,,,,,,
2016,Both sexes,76,Population,Number,24710,,,,,,
2016,Both sexes,77,Population,Number,23342,,,,,,
2016,Both sexes,78,Population,Number,21489,,,,,,
2016,Both sexes,79,Population,Number,20477,,,,,,
2016,Both sexes,80,Population,Number,19287,,,,,,
2016,Both sexes,81,Population,Number,17821,,,,,,
2016,Both sexes,82,Population,Number,16339,,,,,,
2016,Both sexes,83,Population,Number,14484,,,,,,
2016,Both sexes,84,Population,Number,13106,,,,,,
2016,Both sexes,85,Population,Number,11947,,,,,,
2016,Both sexes,86,Population,Number,10331,,,,,,
2016,Both sexes,87,Population,Number,8785,,,,,,
2016,Both sexes,88,Population,Number,7378,,,,,,
2016,Both sexes,89,Population,Number,6421,,,,,,
2016,Both sexes,90,Population,Number,5378,,,,,,
2016,Both sexes,91,Population,Number,4378,,,,,,
2016,Both sexes,92,Population,Number,3418,,,,,,
2016,Both sexes,93,Population,Number,2733,,,,,,
2016,Both sexes,94,Population,Number,2067,,,,,,
2016,Both sexes,95,Population,Number,1551,,,,,,
2016,Both sexes,96,Population,Number,1210,,,,,,
2016,Both sexes,97,Population,Number,734,,,,,,
2016,Both sexes,98,Population,Number,450,,,,,,
2016,Both sexes,99,Population,Number,318,,,,,,
2016,Both sexes,100,Population,Number,456,,,,,and,over
